# pipefail-early-exit-baseline.txt — generated by
# scripts/check-pipefail-early-exit.sh --update
#
# Per-file count of `set -o pipefail` pipelines whose status is consumed and
# whose consumer exits early (head / grep -q / grep -m / read) — the SIGPIPE
# class behind #7060, #7285, #7540, #7736 and #7771 (parent #7789).
#
# This is a debt ledger, not a target. The gate fails when a listed file GAINS
# an occurrence, or when an unlisted file gains its first. Shedding occurrences
# is always allowed — rerun with --update to record the reduction.
#
# Most entries are latent, not live: a producer whose output fits the pipe
# buffer never SIGPIPEs. Being listed here is not a bug report. It means the
# file may not add another one, and that a reader looking for the next #7771
# has a candidate list.
#
# Entries under defaults/scripts/tests/ and defaults/hooks/tests/ are mostly the
# per-file assert_contains / assert_not_contains helpers, whose rewrite is
# issue #7862's scope, not this ledger's. They are expected to fall to 0 as
# that work lands; the ratchet allows that without an --update.
#
# <occurrences> <path>
2 defaults/scripts/tests/test-loom-daemon-watchdog.sh
2 defaults/scripts/tests/test-mcp-config.sh
12 defaults/scripts/tests/test-merge-pr-auto-merge-disabled-fallback.sh
4 defaults/scripts/tests/test-merge-pr-check-runs-404-fallback.sh
2 defaults/scripts/tests/test-merge-pr-defaults-version-bump-collision.sh
2 defaults/scripts/tests/test-merge-pr-dirty-worktree-guard.sh
5 defaults/scripts/tests/test-merge-pr-head-mismatch.sh
2 defaults/scripts/tests/test-merge-pr-loom-pr-label-guard.sh
2 defaults/scripts/tests/test-merge-pr-merge-ordering-guard.sh
9 defaults/scripts/tests/test-merge-pr-rate-limit-fallback.sh
6 defaults/scripts/tests/test-merge-pr-stale-mergeable.sh
4 defaults/scripts/tests/test-merge-pr-unstable-fallback.sh
1 defaults/scripts/tests/test-post-verdict.sh
6 defaults/scripts/tests/test-pr-worktree-isolation.sh
1 defaults/scripts/tests/test-provision-codex-hooks.sh
7 defaults/scripts/tests/test-random-file.sh
1 defaults/scripts/tests/test-recover-orphaned-shepherds-diagnostics.sh
5 defaults/scripts/tests/test-resync-installed.sh
1 defaults/scripts/tests/test-run-ci-suites-retry.sh
4 defaults/scripts/tests/test-run-ci-suites-serial-lane.sh
4 defaults/scripts/tests/test-spawn-claude.sh
2 defaults/scripts/tests/test-spawn-codex.sh
12 defaults/scripts/tests/test-sweep-checkpoint.sh
13 defaults/scripts/tests/test-sweep-run-registry.sh
1 defaults/scripts/tests/test-sync-labels-check.sh
1 defaults/scripts/tests/test-urgent-flip-guard.sh
1 defaults/scripts/tests/test-worktree-concurrency.sh
1 defaults/scripts/tests/test-worktree-json-purity.sh
2 defaults/scripts/tests/test-worktree-nested-symlinks.sh
9 defaults/scripts/tests/test-worktree-orphan-guard-spaces.sh
1 defaults/scripts/tests/test-worktree-race-rescue.sh
2 defaults/scripts/tests/test-worktree-remove.sh
4 defaults/scripts/tests/test-worktree-root-override.sh
6 defaults/scripts/tests/test-worktree-snapshot.sh
5 defaults/scripts/tests/test-worktree-stash-baseline.sh
1 defaults/scripts/validate-roles.sh
2 defaults/scripts/verify-install.sh
1 defaults/scripts/verify-token-precedence.sh
2 defaults/scripts/warn-operator-gated.sh
1 docker/session/test-image.sh
1 docker/worker/test-image.sh
7 install.sh
3 scripts/check-doc-tocs.sh
16 scripts/check-guard-scan-contracts.sh
7 scripts/install-loom.sh
3 scripts/install/create-pr.sh
1 scripts/install/setup-branch-protection.sh
3 scripts/install/sync-labels.sh
2 scripts/test-changelog.sh
4 scripts/test-daemon-liveness.sh
7 scripts/test-install-local-mode.sh
43 scripts/test-installer.sh
3 scripts/uninstall-loom.sh
2 tests/hermit/test-stateless-ceremony.sh
2 tests/hooks/lib/guard-destructive-harness.sh
1 tests/hooks/test-guard-destructive-cargo-and-perf.sh
2 tests/hooks/test-guard-destructive-matching-precision.sh
5 tests/hooks/test-guard-destructive-readonly-fastpath.sh
2 tests/hooks/test-guard-destructive-stash-scope.sh
2 tests/hooks/test-guard-loom-workflow.sh
3 tests/install/test-lint-ignore-configs.sh
1 tests/install/test-provision-daemon.sh
5 tests/install/test-uninstall-clean-preserves-unmanaged-hooks.sh
3 tests/install/test-uninstall-preserve-siblings.sh
2 tests/install/test-uninstall-settings-permissions.sh
